,n_trials,x_0,x_1,x_2
106,100,29,22,32
107,100,22,28,37
108,100,32,27,27
109,100,22,34,28
110,100,20,36,29
111,100,33,32,31
112,100,32,24,30
113,100,27,35,33
114,100,33,31,27
115,100,31,32,30
116,100,31,33,21
117,100,18,32,27
118,100,39,40,29
119,100,29,36,22
120,100,33,29,34
121,100,39,30,32
122,100,17,29,31
123,100,28,28,33
124,100,32,32,28
125,100,27,29,24
126,100,18,30,30
127,100,31,32,33
128,100,36,38,32
129,100,36,31,27
130,100,30,24,28
131,100,37,27,32
132,100,23,30,28
133,100,33,30,31
134,100,34,47,22
135,100,25,27,38
136,100,25,30,32
137,100,32,32,38
138,100,17,27,31
139,100,30,35,33
140,100,28,30,27
141,100,34,21,24
142,100,28,21,31
143,100,34,30,27
144,100,32,31,24
145,100,29,32,29
146,100,20,24,27
147,100,24,34,28
148,100,30,26,37
149,100,27,27,33
150,100,33,27,31
151,100,27,31,34
152,100,37,31,35
153,100,38,22,29
154,100,30,23,31
155,100,22,32,35
156,100,21,34,29
157,100,26,31,33
158,100,34,24,31
159,100,38,37,31
160,100,32,27,28
161,100,19,26,30
162,100,19,27,22
163,100,22,28,29
164,100,38,32,24
165,100,32,25,34
166,100,29,37,28
167,100,30,29,28
168,100,26,30,34
169,100,18,34,28
170,100,26,30,27
171,100,29,28,22
172,100,21,24,23
173,100,25,31,27
174,100,27,31,26
175,100,27,27,32
176,100,38,45,37
177,100,30,31,26
178,100,33,32,35
179,100,33,29,33
180,100,20,26,24
181,100,36,28,30
182,100,21,32,34
183,100,20,30,28
184,100,33,34,23
185,100,16,31,26
186,100,37,32,33
187,100,32,40,35
188,100,26,31,27
189,100,17,26,33
190,100,25,38,27
191,100,14,24,29
192,100,34,31,29
193,100,36,31,28
194,100,20,34,38
195,100,17,37,36
196,100,21,25,32
197,100,33,36,34
198,100,25,33,33
199,100,33,29,21
200,100,17,29,31
201,100,34,21,27
202,100,17,24,25
203,100,30,26,26
204,100,27,32,34
205,100,15,23,29
206,100,43,34,33
207,100,32,30,33
208,100,29,36,31
209,100,35,27,26
210,100,31,34,31
211,100,20,35,28
212,100,28,33,32
213,100,33,29,30
214,100,31,33,27
215,100,34,29,32
216,100,28,34,27
217,100,26,35,26
218,100,25,26,34
219,100,18,27,29
220,100,15,22,21
221,100,36,32,34
222,100,27,28,34
223,100,34,26,25
224,100,34,30,35
225,100,19,30,31
226,100,21,31,25
227,100,20,31,28
228,100,26,28,33
229,100,31,30,37
230,100,25,33,27
231,100,37,28,39
232,100,15,23,31
233,100,19,34,28
234,100,26,31,32
235,100,30,25,26
236,100,18,25,27
237,100,24,29,26
238,100,26,28,21
239,100,26,36,31
240,100,20,36,29
241,100,33,25,36
242,100,19,38,35
243,100,26,37,24
244,100,14,27,26
245,100,18,34,30
246,100,28,26,28
247,100,23,24,32
248,100,25,31,31
249,100,16,35,32
250,100,20,26,34
251,100,17,29,35
252,100,33,26,30
253,100,25,25,33
254,100,29,34,31
255,100,42,34,29
256,100,31,35,39
257,100,39,30,33
258,100,25,36,24
259,100,23,39,27
260,100,31,31,31
261,100,34,32,31
262,100,29,29,25
263,100,31,32,25
264,100,23,36,35
265,100,34,23,31
266,100,24,30,30
267,100,29,31,31
268,100,30,34,30
269,100,24,36,25
270,100,21,25,28
271,100,42,35,34
272,100,15,22,33
273,100,21,31,29
274,100,30,34,28
275,100,14,29,34
276,100,17,28,38
277,100,23,32,23
278,100,17,34,30
279,100,29,32,34
280,100,42,40,33
281,100,30,31,32
282,100,27,28,38
283,100,19,30,34
284,100,23,26,34
285,100,33,34,25
286,100,31,34,36
287,100,22,31,28
288,100,25,29,38
289,100,24,20,31
290,100,39,35,33
291,100,30,36,27
292,100,32,38,38
293,100,34,22,30
294,100,30,28,28
295,100,21,31,32
296,100,22,31,37
297,100,29,36,39
298,100,33,31,30
299,100,15,26,34
300,100,43,35,35
301,100,25,34,31
302,100,23,37,32
303,100,37,34,27
304,100,29,34,28
305,100,22,28,28
306,100,35,34,37
307,100,35,36,28
308,100,33,24,34
309,100,28,23,36
310,100,33,28,28
311,100,20,35,31
312,100,29,34,26
313,100,36,36,31
314,100,25,41,32
315,100,23,31,31
316,100,26,30,16
317,100,27,25,25
318,100,20,29,22
319,100,33,24,37
320,100,17,35,25
321,100,26,36,28
322,100,28,34,23
323,100,31,24,28
324,100,20,28,30
325,100,34,24,35
326,100,27,29,38
327,100,26,31,28
328,100,23,21,32
329,100,24,34,22
330,100,22,33,31
331,100,39,26,33
332,100,27,33,29
333,100,24,30,22
334,100,32,27,34
335,100,27,29,29
336,100,18,25,36
337,100,20,30,31
338,100,36,27,29
339,100,14,25,32
340,100,28,37,31
341,100,38,39,29
342,100,34,31,19
343,100,30,31,29
344,100,35,23,25
345,100,24,27,46
346,100,19,39,27
347,100,35,29,31
348,100,25,30,29
349,100,24,34,28
350,100,25,31,24
351,100,28,24,32
352,100,27,33,25
353,100,31,28,30
354,100,15,35,30
355,100,22,31,28
356,100,33,33,30
357,100,14,38,29
358,100,25,29,31
359,100,28,32,27
360,100,30,31,39
361,100,30,25,41
362,100,21,32,27
363,100,34,27,36
364,100,30,34,36
365,100,32,30,25
366,100,29,34,34
367,100,35,33,32
368,100,32,27,34
369,100,23,32,31
370,100,31,22,23
371,100,20,22,24
372,100,26,31,30
373,100,30,34,38
374,100,29,32,27
375,100,22,25,26
376,100,37,35,16
377,100,30,33,24
378,100,29,26,29
379,100,28,42,28
380,100,31,26,26
381,100,26,24,33
382,100,18,35,27
383,100,29,30,32
384,100,30,29,30
385,100,19,36,33
386,100,38,24,20
387,100,30,24,30
388,100,34,27,28
389,100,29,29,35
390,100,29,30,37
391,100,15,32,27
392,100,45,37,29
393,100,30,37,32
394,100,31,28,30
395,100,28,31,26
396,100,20,34,23
397,100,30,28,28
398,100,34,30,29
399,100,32,29,36
400,100,25,24,30
401,100,31,27,26
402,100,35,29,30
403,100,20,32,28
404,100,28,31,29
405,100,35,29,31
406,100,28,28,29
407,100,20,32,32
408,100,33,35,32
409,100,18,21,32
410,100,29,31,24
411,100,30,26,30
412,100,27,30,35
413,100,33,28,32
414,100,23,33,32
415,100,24,27,33
416,100,20,38,29
417,100,22,28,29
418,100,31,31,19
419,100,14,32,32
420,100,30,19,30
421,100,29,39,33
422,100,21,33,30
423,100,27,19,26
424,100,37,31,29
425,100,32,30,28
426,100,34,33,37
427,100,34,29,29
428,100,18,31,29
429,100,33,31,27
430,100,31,25,28
431,100,31,28,27
432,100,38,35,30
433,100,31,27,24
434,100,16,36,34
435,100,27,31,26
436,100,29,25,36
437,100,34,24,38
438,100,32,34,29
439,100,26,37,37
440,100,24,26,27
441,100,24,30,27
442,100,19,29,32
443,100,25,30,31
444,100,29,32,30
445,100,25,25,28
446,100,30,33,27
447,100,24,33,24
448,100,33,26,22
449,100,36,27,27
450,100,24,23,31
451,100,24,32,24
452,100,33,31,28
453,100,29,31,32
454,100,25,34,28
455,100,29,28,32
456,100,33,33,30
457,100,29,35,37
458,100,26,26,30
459,100,27,33,28
460,100,29,36,31
461,100,20,33,28
462,100,25,33,32
463,100,23,27,29
464,100,13,30,29
465,100,26,29,31
466,100,28,26,29
467,100,22,31,40
468,100,23,27,32
469,100,27,28,36
470,100,16,32,35
471,100,24,29,35
472,100,20,43,29
473,100,16,36,28
474,100,17,35,40
475,100,31,35,25
476,100,28,31,25
477,100,19,32,31
478,100,27,28,32
479,100,25,27,26
480,100,25,29,32
481,100,28,29,29
482,100,32,27,33
483,100,33,25,23
484,100,24,41,24
485,100,26,28,28
486,100,15,29,29
487,100,17,26,29
488,100,23,25,28
489,100,20,19,42
490,100,22,25,33
491,100,25,27,34
492,100,24,29,31
493,100,36,28,40
494,100,16,30,31
495,100,28,28,32
496,100,28,32,39
497,100,28,33,30
498,100,21,35,37
499,100,23,28,26
500,100,30,34,36
501,100,32,34,32
502,100,35,25,31
503,100,29,35,27
504,100,34,22,33
505,100,24,31,32
506,100,22,40,17
507,100,17,37,32
508,100,25,32,21
509,100,32,34,26
510,100,28,32,30
511,100,16,34,31
512,100,27,28,29
513,100,29,37,35
514,100,23,37,26
515,100,29,28,28
516,100,21,39,25
517,100,26,33,29
518,100,20,25,27
519,100,33,26,32
520,100,23,27,30
521,100,28,27,29
522,100,41,33,31
523,100,21,23,28
524,100,34,27,32
525,100,25,26,19
526,100,29,40,25
527,100,32,27,28
528,100,31,37,26
529,100,31,32,29
530,100,31,36,31
531,100,14,29,31
532,100,41,30,32
533,100,31,29,26
534,100,25,30,27
535,100,29,31,26
536,100,31,27,33
537,100,25,35,25
538,100,24,26,25
539,100,34,31,25
540,100,25,38,36
541,100,40,28,27
542,100,20,28,29
543,100,11,30,29
544,100,27,33,22
545,100,15,29,35
546,100,31,27,18
547,100,21,33,33
548,100,21,28,40
549,100,27,29,27
550,100,31,28,32
551,100,34,33,31
552,100,21,28,26
553,100,22,34,33
554,100,20,26,33
555,100,30,29,24
556,100,32,30,28
557,100,34,27,31
558,100,19,43,33
559,100,37,27,31
560,100,24,29,24
561,100,36,36,27
562,100,32,37,36
563,100,26,24,30
564,100,30,29,26
565,100,31,28,31
566,100,35,34,37
567,100,36,30,28
568,100,26,32,32
569,100,21,30,31
570,100,37,29,31
571,100,14,34,31
572,100,19,36,37
573,100,26,26,29
574,100,29,25,36
575,100,36,36,27
576,100,19,23,29
577,100,14,29,24
578,100,15,31,26
579,100,31,29,25
580,100,22,25,30
581,100,28,30,25
582,100,39,37,31
583,100,30,25,27
584,100,30,26,37
585,100,24,25,29
586,100,33,40,33
587,100,27,32,23
588,100,30,29,32
589,100,29,33,33
590,100,37,32,34
591,100,15,24,34
592,100,28,22,33
593,100,33,28,31
594,100,32,22,24
595,100,27,30,26
596,100,23,31,39
597,100,14,30,25
598,100,45,34,37
599,100,33,25,25
600,100,21,29,25
601,100,32,32,36
602,100,34,29,27
603,100,34,29,38
604,100,29,30,26
605,100,25,32,30
606,100,17,29,27
607,100,22,32,25
608,100,17,32,36
609,100,20,25,36
610,100,23,29,22
611,100,29,29,26
612,100,32,28,24
613,100,24,31,32
614,100,32,29,31
615,100,29,24,25
616,100,38,32,28
617,100,36,37,25
618,100,26,28,36
619,100,33,33,35
620,100,30,29,37
621,100,15,33,27
622,100,21,29,26
623,100,24,30,22
624,100,28,32,31
625,100,14,28,30
626,100,22,39,32
627,100,27,28,30
628,100,27,33,20
629,100,30,39,39
630,100,34,25,30
631,100,26,36,35
632,100,35,28,24
633,100,35,33,29
634,100,29,34,25
635,100,24,35,31
636,100,27,33,31
637,100,31,36,30
638,100,24,27,34
639,100,30,32,28
640,100,13,22,38
641,100,28,34,25
642,100,28,32,28
643,100,20,16,29
644,100,31,30,24
645,100,18,28,34
646,100,20,31,31
647,100,37,28,29
648,100,34,22,32
649,100,17,27,28
650,100,29,19,26
651,100,34,39,34
652,100,24,32,37
653,100,36,27,21
654,100,27,35,25
655,100,31,28,30
656,100,20,28,27
657,100,26,27,26
658,100,23,28,28
659,100,28,32,26
660,100,23,32,40
661,100,21,24,31
662,100,37,25,29
663,100,19,23,28
664,100,32,31,24
665,100,34,31,28
666,100,15,25,40
667,100,26,33,32
668,100,29,20,27
669,100,25,24,31
670,100,32,29,27
671,100,31,37,25
672,100,32,28,29
673,100,29,32,26
674,100,42,31,27
675,100,20,28,30
676,100,29,33,30
677,100,19,26,34
678,100,27,33,32
679,100,25,31,30
680,100,24,31,31
681,100,31,23,22
682,100,22,30,33
683,100,33,33,39
684,100,18,31,18
685,100,28,34,27
686,100,27,33,27
687,100,27,26,33
688,100,30,33,36
689,100,27,33,35
690,100,33,26,35
691,100,35,33,29
692,100,26,27,29
693,100,40,22,30
694,100,28,29,32
695,100,33,27,31
696,100,19,35,28
697,100,28,17,29
698,100,29,22,29
699,100,29,26,32
700,100,27,30,27
701,100,42,29,34
702,100,28,34,29
703,100,22,28,27
704,100,23,33,26
705,100,22,34,35
706,100,23,30,30
707,100,26,29,29
708,100,21,37,38
709,100,16,29,29
710,100,39,26,30
711,100,28,24,29
712,100,29,29,33
713,100,28,24,27
714,100,35,31,36
715,100,26,32,28
716,100,36,31,37
717,100,23,25,29
718,100,23,30,26
719,100,21,28,36
720,100,24,30,36
721,100,34,31,40
722,100,16,35,36
723,100,25,24,29
724,100,27,30,22
725,100,27,27,29
726,100,25,27,30
727,100,34,26,29
728,100,40,32,21
729,100,36,27,32
730,100,17,35,28
731,100,28,28,31
732,100,35,34,27
733,100,33,25,27
734,100,16,36,22
735,100,6,26,30
736,100,14,32,32
737,100,25,26,27
738,100,32,26,25
739,100,18,21,32
740,100,24,31,27
741,100,26,36,31
742,100,37,30,28
743,100,22,32,23
744,100,31,30,21
745,100,27,32,30
746,100,30,22,23
747,100,24,31,30
748,100,29,25,39
749,100,32,33,26
750,100,16,29,30
751,100,25,30,22
752,100,21,30,24
753,100,31,32,35
754,100,23,34,23
755,100,30,35,24
756,100,16,31,30
757,100,34,27,31
758,100,32,36,34
759,100,10,27,20
760,100,32,27,26
761,100,33,31,28
762,100,34,25,31
763,100,17,31,21
764,100,28,33,31
765,100,34,49,31
766,100,31,30,27
767,100,21,36,34
768,100,35,28,39
769,100,25,32,31
770,100,29,34,34
771,100,10,34,23
772,100,19,36,31
773,100,23,35,31
774,100,31,32,25
775,100,30,33,33
776,100,21,30,25
777,100,29,32,26
778,100,23,24,27
779,100,25,32,26
780,100,22,37,21
781,100,22,35,32
782,100,23,32,27
783,100,30,31,29
784,100,11,29,41
785,100,32,28,27
786,100,26,32,29
787,100,16,28,37
788,100,31,23,29
789,100,16,33,35
790,100,30,26,28
791,100,38,33,36
792,100,22,33,33
793,100,41,33,41
794,100,35,29,27
795,100,25,35,26
796,100,28,25,34
797,100,32,41,31
798,100,37,32,31
799,100,11,28,32
800,100,23,35,25
801,100,35,27,27
802,100,18,31,34
803,100,28,31,33
804,100,33,27,28
805,100,20,31,21
806,100,26,29,31
807,100,27,31,35
808,100,28,32,22
809,100,18,32,31
810,100,28,25,31
811,100,30,28,27
812,100,27,28,24
813,100,25,20,35
814,100,34,25,30
815,100,32,31,33
816,100,24,24,33
817,100,25,38,29
818,100,23,31,37
819,100,35,29,25
820,100,26,32,36
821,100,28,34,26
822,100,15,33,28
823,100,20,34,27
824,100,26,25,26
825,100,26,28,28
826,100,36,39,31
827,100,32,28,30
828,100,19,27,29
829,100,19,25,32
830,100,33,29,28
831,100,29,27,31
832,100,23,27,22
833,100,36,27,23
834,100,29,35,25
835,100,20,30,27
836,100,30,26,27
837,100,37,32,29
838,100,18,24,43
839,100,30,32,32
840,100,33,30,32
841,100,34,31,34
842,100,27,29,33
843,100,18,36,33
844,100,35,27,27
845,100,17,27,29
846,100,32,32,28
847,100,38,36,32
848,100,38,26,27
849,100,22,26,31
850,100,29,34,34
851,100,19,33,31
852,100,30,31,35
853,100,26,32,30
854,100,28,30,31
855,100,24,31,36
856,100,40,35,25
857,100,29,27,29
858,100,10,26,25
859,100,27,22,27
860,100,18,35,33
861,100,30,39,40
862,100,38,30,23
863,100,22,32,29
864,100,39,24,28
865,100,28,24,31
866,100,30,31,35
867,100,29,26,23
868,100,30,27,33
869,100,28,32,30
870,100,30,36,23
871,100,18,34,22
872,100,27,30,28
873,100,32,34,39
874,100,28,36,39
875,100,21,35,23
876,100,26,37,27
877,100,38,31,32
878,100,24,28,38
879,100,15,27,25
880,100,31,16,31
881,100,37,29,29
882,100,24,26,34
883,100,28,35,28
884,100,27,28,25
885,100,37,32,31
886,100,36,33,27
887,100,21,31,29
888,100,27,32,32
889,100,29,36,32
890,100,16,29,33
891,100,27,28,33
892,100,22,34,28
893,100,37,31,21
894,100,36,26,25
895,100,27,31,33
896,100,34,32,22
897,100,29,33,26
898,100,38,28,31
899,100,31,24,36
900,100,18,30,32
901,100,18,21,30
902,100,29,34,33
903,100,17,20,29
904,100,35,29,30
905,100,21,28,24
906,100,22,34,31
907,100,32,25,31
908,100,31,35,32
909,100,25,33,27
910,100,27,27,45
911,100,24,24,31
912,100,31,28,25
913,100,35,28,29
914,100,33,34,33
915,100,17,34,21
916,100,32,28,34
917,100,29,27,25
918,100,29,25,25
919,100,26,37,27
920,100,26,31,25
921,100,30,29,28
922,100,31,40,35
923,100,34,26,25
924,100,24,33,33
925,100,28,38,20
926,100,30,26,27
927,100,28,32,31
928,100,23,21,39
929,100,23,36,25
930,100,28,31,34
931,100,29,23,20
932,100,32,28,30
933,100,31,29,35
934,100,32,30,30
935,100,21,30,33
936,100,29,25,34
937,100,29,26,27
938,100,30,29,25
939,100,34,23,24
940,100,25,18,32
941,100,24,32,31
942,100,26,22,35
943,100,26,18,29
944,100,25,34,30
945,100,23,23,26
946,100,35,26,19
947,100,18,31,37
948,100,29,35,22
949,100,31,32,34
950,100,11,23,31
951,100,20,20,23
952,100,28,24,28
953,100,28,38,30
954,100,22,23,24
955,100,35,33,32
956,100,33,28,35
957,100,31,30,31
958,100,32,29,33
959,100,27,36,30
960,100,29,23,37
961,100,20,24,32
962,100,27,35,30
963,100,18,38,31
964,100,27,27,29
965,100,24,33,33
966,100,31,34,26
967,100,24,30,23
968,100,26,33,26
969,100,28,29,25
970,100,21,30,34
971,100,29,25,27
972,100,22,32,35
973,100,27,27,32
974,100,18,30,24
975,100,31,27,30
976,100,36,32,28
977,100,30,27,33
978,100,19,36,39
979,100,28,40,30
980,100,35,38,28
981,100,20,30,30
982,100,34,34,23
983,100,30,34,30
984,100,25,30,30
985,100,25,32,32
986,100,31,35,33
987,100,30,33,33
988,100,34,18,26
989,100,26,26,26
990,100,24,30,25
991,100,35,39,34
992,100,12,30,38
993,100,30,31,31
994,100,17,30,28
995,100,31,31,28
996,100,37,31,33
997,100,16,37,38
998,100,36,29,38
999,100,20,28,23
